data_id,data_cnt,origin_vote,S_id,vote,random_label
555,1,23,318,22,6
556,43,5,5,5,19
557,86,8,7,7,25
558,1,2,319,3,20
559,1,2,320,3,3
560,1,15,321,14,6
561,1,2,322,3,23
562,1,12,323,16,11
563,1,24,324,24,10
564,32,25,25,25,13
565,1,22,325,21,25
566,53,22,21,21,18
567,1,25,326,25,16
568,86,8,7,7,25
569,1,17,327,19,23
570,1,6,328,6,13
571,1,10,329,13,21
572,1,13,330,9,2
573,1,10,331,13,10
574,9,18,18,18,22
575,33,20,17,17,22
576,75,9,10,10,21
577,1,10,332,13,24
578,1,4,333,13,2
579,1,21,334,8,25
580,1,24,335,24,12
581,42,6,6,6,2
582,42,6,6,6,25
583,42,6,6,6,13
584,42,6,6,6,4
585,63,16,20,20,22
586,1,23,336,22,22
587,1,17,337,19,24
588,42,6,6,6,9
589,1,17,338,19,3
590,42,6,6,6,18
591,1,18,339,18,13
592,1,14,340,15,3
593,1,22,341,21,23
594,1,12,342,16,2
595,1,14,343,15,14
596,1,18,344,18,12
597,53,22,21,21,10
598,1,20,345,22,11
599,9,18,18,18,3
600,42,6,6,6,8
601,63,16,20,20,2
602,42,6,6,6,21
603,1,14,346,15,6
604,42,6,6,6,10
605,42,6,6,6,22
606,63,16,20,20,15
607,1,5,347,5,8
608,1,13,348,9,13
609,1,22,349,21,21
610,86,8,7,7,12
611,1,22,350,21,20
612,23,4,13,13,12
613,56,14,15,15,23
614,67,11,11,11,12
615,1,24,351,24,19
616,1,24,352,24,7
617,1,24,353,24,5
618,1,19,354,23,4
619,1,9,355,10,24
620,1,12,356,16,3
621,43,5,5,5,2
622,1,5,357,5,1
623,43,5,5,5,24
624,1,17,358,22,8
625,1,23,359,22,21
626,1,23,360,22,8
627,1,12,361,16,12
628,1,5,362,5,20
629,1,17,363,19,12
630,1,21,364,23,23
631,1,9,365,10,5
632,56,14,15,15,3
633,1,5,366,5,7
634,43,5,5,5,4
635,56,14,15,15,2
