20,18,17,19,17,18,19,18,19,19,19,16,17,18,20,15,21,18,19,19,19,18,16,18,18,17,18,19,17,17,18,19,19,19,18,17,17,19,18,19,18,19,17,16,20,17,19,15,18,18,19,2
21,5,3,5,6,5,5,4,2,5,4,4,4,3,4,5,5,4,5,5,5,4,2,5,5,6,4,5,4,5,5,5,2,3,3,3,5,5,4,4,5,3,1,5,2,3,3,4,4,3,4,11
22,16,16,17,16,16,16,21,17,17,15,17,19,17,18,16,20,16,18,16,17,16,17,15,16,16,17,18,20,18,16,18,15,16,17,18,18,15,17,16,15,17,16,17,17,18,18,16,16,17,15,12
23,14,15,19,18,17,17,18,14,19,18,18,17,19,20,17,19,17,19,18,18,17,18,17,17,12,12,17,18,15,17,12,16,19,14,11,19,19,19,17,14,14,3,15,20,14,10,17,19,18,17,2
24,4,4,3,4,4,3,5,4,3,3,3,5,4,5,4,3,6,3,4,4,5,4,4,4,2,3,4,5,4,4,4,5,4,5,6,3,4,5,5,2,7,5,2,3,4,4,5,3,5,6,11
25,4,4,3,4,4,3,5,4,3,3,3,5,4,5,4,3,6,3,4,4,5,4,4,4,2,3,4,5,4,4,4,5,4,5,6,3,4,5,5,2,7,5,2,3,4,4,5,3,5,6,11
26,18,17,12,17,18,19,18,16,19,19,16,13,14,15,15,17,18,19,19,19,18,16,18,14,17,14,19,17,17,18,19,19,15,18,17,17,14,18,19,12,16,17,16,15,17,14,15,18,18,19,2
27,4,4,3,4,4,3,5,4,3,3,3,5,4,5,4,3,6,3,4,4,5,4,4,4,2,3,4,5,4,4,4,5,4,5,6,3,4,5,5,2,7,5,2,3,4,4,5,3,5,6,11
28,18,17,12,17,18,19,13,16,14,19,16,13,14,15,15,17,18,14,19,19,18,16,18,14,17,14,19,17,17,18,19,19,15,18,17,17,14,18,19,12,16,17,16,15,17,14,15,18,11,19,2
29,18,22,23,9,18,21,13,22,14,22,21,13,14,23,22,17,18,14,22,22,23,23,10,14,22,14,24,17,14,8,23,8,15,22,17,8,14,21,21,22,22,22,22,21,21,14,22,24,11,19,3
30,16,16,17,16,16,16,21,17,17,15,17,19,17,18,16,20,16,18,16,17,16,17,15,16,16,17,18,20,18,16,18,15,16,17,18,18,15,17,16,15,17,16,17,17,18,18,16,16,17,15,11
31,24,22,23,22,23,21,20,22,22,22,21,22,24,23,22,23,23,22,22,22,23,23,23,23,22,21,24,23,21,23,23,22,21,22,19,21,20,21,21,22,22,22,22,21,21,15,22,24,23,23,2
32,6,6,7,5,7,6,7,6,7,5,5,8,5,8,7,7,5,8,7,8,8,6,7,6,3,7,6,7,6,7,8,7,5,4,5,6,6,7,6,3,6,7,3,5,6,5,6,7,6,5,6
33,24,22,4,21,23,21,17,5,22,22,21,9,24,23,8,23,11,22,22,22,23,23,23,23,4,6,24,23,21,15,6,22,21,22,22,22,16,6,21,4,5,8,4,8,5,20,13,24,23,23,2
34,5,3,5,6,5,5,4,2,5,4,4,4,3,4,5,5,4,5,5,5,4,2,5,5,6,4,5,4,5,5,5,2,3,3,3,5,5,4,4,5,3,1,5,2,3,3,4,4,3,4,11
35,21,21,20,19,19,14,15,20,20,13,12,24,20,21,21,9,20,21,20,20,19,19,21,20,18,20,21,12,20,21,17,20,13,19,20,15,17,20,14,20,20,20,20,12,20,21,19,20,20,20,11
36,22,20,22,21,22,23,23,21,21,21,23,21,21,19,23,22,19,20,21,21,21,21,22,19,23,22,20,21,22,22,21,21,22,21,22,22,23,22,23,21,21,19,21,23,22,23,23,21,21,18,2
37,5,3,5,6,5,5,4,2,5,4,4,4,3,4,5,5,4,5,5,5,4,2,5,5,6,4,5,4,5,5,5,2,3,3,3,5,5,4,4,5,3,1,5,2,3,3,4,4,3,4,11
